Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
CALEB`D.LINNERUD`2020-05-15 00:00:00.000`DADF`A`aasdf`1`0`0`1`0`0`0`0`1`0`0`ASD`dsa`2023-03-30 00:00:00.000`2023-03-30 00:00:00.000`. Mike K`2021-12-14 00:00:00.000`NULL
129075`PCMC`2023-04-06 00:00:00.000`31298153`-`68T PEEK GEAR/ STEEL HUB ASSY.`10`0`0`10`14`0`0`0`10`0`0`P693426`1`2023-06-20 00:00:00.000`2023-04-13 00:00:00.000`1 ITEM - JAMIE`2023-04-06 00:00:00.000`NULL
129074`EMT INTERN`2023-04-05 00:00:00.000`3-4402`B`33T, 6DP SPUR GEAR`4`0`0`4`7`0`0`0`4`0`0`207682`4`2023-05-11 00:00:00.000`2023-04-19 00:00:00.000`1 OF 4 ITEMS   BRENT`2023-04-07 00:00:00.000`NULL
129073`EMT INTERN`2023-04-05 00:00:00.000`2-7735-29`I`90T BACKLASH SET`1`0`0`1`14`0`0`0`1`0`0`207682`3`2023-05-11 00:00:00.000`2023-04-10 00:00:00.000`1 OF 4 ITEMS   BRENT`2023-04-07 00:00:00.000`NULL
129072`EMT INTERN`2023-04-05 00:00:00.000`2-7735-19`I`160T BACKLASH SET`1`0`0`1`15`0`0`0`1`0`0`207682`2`2023-05-11 00:00:00.000`2023-04-10 00:00:00.000`1 OF 4 ITEMS   BRENT`2023-04-07 00:00:00.000`NULL
129071`EMT INTERN`2023-04-05 00:00:00.000`2-7735-18`I`128T BACKLASH SET`1`0`0`1`16`0`0`0`1`0`0`207682`1`2023-05-11 00:00:00.000`2023-04-10 00:00:00.000`1 OF 4 ITEMS   BRENT`2023-04-07 00:00:00.000`NULL
129070`HAMPSHIRE`2023-04-05 00:00:00.000`1304103`NULL`KNURLED INSERT, 4.420" I.D.`48`0`0`48`5`0`0`0`48`0`0`54384`1`2023-04-21 00:00:00.000`2023-04-10 00:00:00.000`1 ITEM  Greg V`2023-04-07 00:00:00.000`NULL
129069`CENTRE BEA`2023-04-05 00:00:00.000`28050`NULL`50T, 3 MOD. R.H. HELICAL GEAR`3`0`0`3`8`0`0`0`3`0`0`14702`1`2023-05-03 00:00:00.000`2023-04-07 00:00:00.000`1 ITEM - RETURN SAMPLE& MATING PART  BRENT`2023-04-05 00:00:00.000`NULL
129068`EDG GEAR`2023-04-05 00:00:00.000`UR50609`K`9¼" ECCENTRIC HOUSING`3`0`0`3`12`0`0`0`3`0`0`RF 04/05/23`13`2023-05-17 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM  Greg V`2023-04-07 00:00:00.000`NULL
129067`EDG GEAR`2023-04-05 00:00:00.000`508060`B`P30-AT20 PULLEY`2`0`0`2`7`0`0`0`2`0`0`RF 04/05/23`12`2023-06-05 00:00:00.000`2023-04-19 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129066`EDG GEAR`2023-04-05 00:00:00.000`506579`B`88T, 8DP ECCENTRIC HOUSING`1`0`0`1`14`0`0`0`1`0`0`RF 04/05/23`11`2023-06-07 00:00:00.000`2023-04-17 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129065`EDG GEAR`2023-04-05 00:00:00.000`506577`A`48T, 8DP DRIVE GEAR`3`0`0`3`6`0`0`0`3`0`0`RF 04/05/23`10`2023-06-05 00:00:00.000`2023-05-01 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129064`EDG GEAR`2023-04-05 00:00:00.000`506332`A`48T, 6DP IDLER GEAR`2`0`0`2`9`0`0`0`2`0`0`RF 04/05/23`9`2023-06-06 00:00:00.000`2023-04-24 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129063`EDG GEAR`2023-04-05 00:00:00.000`505759`B`44T, 8DP ELEV GEAR`2`0`0`2`7`0`0`0`2`0`0`RF 04/05/23`8`2023-06-05 00:00:00.000`2023-04-24 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129062`EDG GEAR`2023-04-05 00:00:00.000`502957`B`18T-AT10 PULLEY`2`0`0`2`9`0`0`0`2`0`0`RF 04/05/23`7`2023-06-06 00:00:00.000`2023-04-13 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129061`EDG GEAR`2023-04-05 00:00:00.000`500817`A`88T, 8DP ECCENTRIC HOUSING`1`0`0`1`14`0`0`0`1`0`0`RF 04/05/23`6`2023-06-07 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
129060`EDG GEAR`2023-04-05 00:00:00.000`500355`A`P71-8M-36 TIMING PULLEY`1`0`0`1`9`0`0`0`1`0`0`RF 04/05/23`5`2023-06-06 00:00:00.000`2023-04-24 00:00:00.000`1 ITEM Greg V`2023-04-07 00:00:00.000`NULL
