User_Values`Text1
-----------`-----
4314`0
4325`000
4307`00
4316`00
4319`0
4322`00
4302`0
4309`0
4320`0
4323`00
4324`0
4326`000
4301`0
4311`000
4312`000
4313`000
4317`00
4321`0
4327`0

(19 rows affected)
