Job`Job_Operation`WC_Vendor`Operation_Service`Vendor`Sched_Start`Sched_End`Sequence`Status`Est_Total_Hrs
---`-------------`---------`-----------------`------`-----------`---------`--------`------`-------------
CALEB`737641`OFFICE`NULL`NULL`2023-03-30 09:00:00.000`2023-03-30 09:00:00.000`3`O`0.0
128966`737946`A-SAW`NULL`NULL`2023-04-03 07:39:00.000`2023-04-03 08:24:00.000`0`O`0.75
128966`737947`A-LTH CNC`NULL`NULL`2023-04-05 10:24:00.000`2023-04-05 14:19:00.000`1`O`3.9199999999999999
128966`737948`A-EDM`KEYWAY`NULL`2023-04-07 11:19:00.000`2023-04-07 13:49:00.000`2`O`2.5
128966`737949`A-HOB CNC`NULL`NULL`2023-04-11 10:49:00.000`2023-04-12 07:13:00.000`3`O`4.4000000000000004
128966`737950`DEBURR`DEBURR`NULL`2023-04-13 12:13:00.000`2023-04-13 12:47:00.000`4`O`0.56999999999999995
128966`737951`HT WELD`FABIO-FLNG`NULL`2023-04-17 09:47:00.000`2023-04-17 12:37:00.000`5`O`2.8399999999999999
128966`737952`STAMP`FABIO`NULL`2023-04-19 09:37:00.000`2023-04-19 09:50:00.000`6`O`0.20999999999999999
128966`737953`INSPECT`INSPCT FAB`NULL`2023-04-20 14:50:00.000`2023-04-21 07:30:00.000`7`O`0.67000000000000004
128966`737954`A-SHIP`GEN SHIP`NULL`2023-04-25 14:30:00.000`2023-04-25 14:51:00.000`8`O`0.34999999999999998
128966`737955`SPARES`PUT IN INV`NULL`2023-04-25 14:51:00.000`2023-04-25 15:00:00.000`9`O`0.14999999999999999
128965`737943`SPARES`PULL ONLY`NULL`2023-04-07 11:00:00.000`2023-04-07 11:00:00.000`0`O`0.0
128965`737944`INSPECT`INSPCT FAB`NULL`2023-04-14 11:00:00.000`2023-04-14 11:00:00.000`1`O`0.0
128965`737945`A-SHIP`GEN SHIP`NULL`2023-04-25 15:00:00.000`2023-04-25 15:00:00.000`2`O`0.0
128964`737912`A-SAW`NULL`NULL`2023-03-30 12:37:00.000`2023-03-30 12:58:00.000`0`C`0.42999999999999999
128964`737913`A-LTH CNC`NULL`NULL`2023-03-31 08:58:00.000`2023-03-31 12:58:00.000`1`S`4.75
128964`737914`A-SHAPER`NULL`NULL`2023-03-31 14:58:00.000`2023-04-03 09:58:00.000`2`O`4.0
128964`737915`H 20`NULL`NULL`2023-04-03 11:58:00.000`2023-04-03 13:48:00.000`3`O`2.5800000000000001
128964`737916`DEBURR`NULL`NULL`2023-04-03 14:48:00.000`2023-04-03 15:00:00.000`4`O`0.28999999999999998
128964`737922`A-NITRIDE`.030 DEEP`NULL`2023-04-05 03:28:00.000`2023-04-10 17:28:00.000`5`O`72.0
128964`737919`INSPECT`CHECK SIZE`NULL`2023-04-11 14:28:00.000`2023-04-11 14:37:00.000`6`O`0.20999999999999999
128964`737918`A-SHAPER`INSPECT`NULL`2023-04-12 07:37:00.000`2023-04-12 07:52:00.000`7`O`0.33000000000000002
128964`737923`STAMP`NULL`NULL`2023-04-12 08:52:00.000`2023-04-12 09:00:00.000`8`O`0.13
128964`737920`PRINT`PRINT`NULL`2023-04-12 10:00:00.000`2023-04-12 11:00:00.000`9`O`1.0
128964`737921`A-SHIP`GEN SHIP`NULL`2023-04-12 11:00:00.000`2023-04-12 11:00:00.000`10`O`0.0
128960`737924`IN`IN`NULL`2023-04-04 14:24:00.000`2023-04-04 14:30:00.000`0`C`0.10000000000000001
128960`737925`KEYSEAT`NULL`NULL`2023-04-06 08:30:00.000`2023-04-06 11:00:00.000`1`O`2.5
128960`737926`A-SHIP`GEN SHIP`NULL`2023-04-10 15:00:00.000`2023-04-10 15:00:00.000`2`O`0.0
128959`737906`IN`RAW-RING`NULL`2023-04-19 14:39:00.000`2023-04-19 14:49:00.000`0`O`0.16
128959`737907`L 900M`NULL`NULL`2023-04-21 08:49:00.000`2023-04-24 13:49:00.000`1`O`13.0
128959`737908`H 1501 CNC`NULL`NULL`2023-04-25 13:49:00.000`2023-04-26 12:04:00.000`2`O`8.25
128959`737909`DEBURR`DEBURR-ST`NULL`2023-04-27 14:04:00.000`2023-04-27 14:54:00.000`3`O`0.82999999999999996
128959`737910`A-SHIP`SHIP-KHS`NULL`2023-05-02 10:54:00.000`2023-05-02 11:00:00.000`4`O`0.10000000000000001
128959`737911`A-SHIP`GEN SHIP`NULL`2023-05-04 15:00:00.000`2023-05-04 15:00:00.000`5`O`0.0
128958`737933`A-SAW`NULL`NULL`2023-04-12 08:57:00.000`2023-04-12 10:40:00.000`0`O`1.72
128958`737934`A-LTH CNC`NULL`NULL`2023-04-19 09:40:00.000`2023-04-20 07:15:00.000`1`O`5.5800000000000001
128958`737935`A-SHAPER`NULL`NULL`2023-04-26 14:15:00.000`2023-04-28 07:50:00.000`2`O`9.5800000000000001
128958`737936`DEBURR`NULL`NULL`2023-05-04 14:50:00.000`2023-05-05 08:10:00.000`3`O`1.3300000000000001
128958`737937`BROACH`NULL`NULL`2023-05-12 07:10:00.000`2023-05-12 09:05:00.000`4`O`1.9199999999999999
128958`737938`A-MILL`NULL`NULL`2023-05-19 08:05:00.000`2023-05-22 10:25:00.000`5`O`10.33
128958`737939`A-SAW`NULL`NULL`2023-05-29 09:25:00.000`2023-05-29 13:15:00.000`6`O`3.8300000000000001
128958`737940`DEBURR`DEBURR-ST`NULL`2023-06-05 12:15:00.000`2023-06-05 14:00:00.000`7`O`1.75
128958`737941`A-SHIP`GEN SHIP`NULL`2023-06-13 15:00:00.000`2023-06-13 15:00:00.000`8`O`0.0
128957`737898`A-SAW`NULL`NULL`2023-04-04 11:26:00.000`2023-04-04 11:53:00.000`0`O`0.44
128957`737899`A-LTH CNC`NULL`NULL`2023-04-06 13:53:00.000`2023-04-07 08:18:00.000`1`O`2.4199999999999999
128957`737900`H 20`NULL`NULL`2023-04-10 10:18:00.000`2023-04-10 11:28:00.000`2`O`1.1599999999999999
128957`737901`DEBURR`DEBURR-ST`NULL`2023-04-11 13:28:00.000`2023-04-11 13:53:00.000`3`O`0.40999999999999998
128957`737902`IN`IN`NULL`2023-04-13 07:53:00.000`2023-04-13 07:58:00.000`4`O`8.0000000000000002E-2
128957`737903`PRESS`NULL`NULL`2023-04-14 09:58:00.000`2023-04-14 10:24:00.000`5`O`0.42999999999999999
128957`737904`HONE`NULL`NULL`2023-04-17 12:24:00.000`2023-04-17 12:50:00.000`6`O`0.42999999999999999
128957`737905`INSPECT`REVIEW INS`NULL`2023-04-18 14:50:00.000`2023-04-18 15:00:00.000`7`O`0.16
128957`737942`A-SHIP`GEN SHIP`NULL`2023-04-21 15:00:00.000`2023-04-21 15:00:00.000`8`O`0.0
128956`737887`A-SAW`NULL`NULL`2023-04-04 14:03:00.000`2023-04-05 08:36:00.000`0`O`2.5499999999999998
128956`737888`A-LTH CNCX`NULL`NULL`2023-04-06 10:36:00.000`2023-04-07 07:11:00.000`1`O`4.5800000000000001
128956`737889`A-MILL`NULL`NULL`2023-04-10 09:11:00.000`2023-04-10 11:51:00.000`2`O`2.6600000000000001
128956`737890`A-HOB CNC`NULL`NULL`2023-04-11 13:51:00.000`2023-04-13 08:15:00.000`3`O`10.4
128956`737891`DEBURR`NULL`NULL`2023-04-14 10:15:00.000`2023-04-14 12:50:00.000`4`O`2.5800000000000001
128956`737892`STAMP`MARQUIP ST`NULL`2023-04-17 14:50:00.000`2023-04-17 15:00:00.000`5`O`0.17000000000000001
128956`737893`A-NITRIDE`.020 DEEP`NULL`2023-04-19 11:25:00.000`2023-04-21 07:25:00.000`6`O`44.0
128956`737894`A-NITRIDE`.020 DEEP`NULL`2023-04-25 19:25:00.000`2023-04-28 07:25:00.000`7`O`60.0
128956`737895`INSPECT`CHECK SIZE`NULL`2023-05-02 09:25:00.000`2023-05-02 09:40:00.000`8`O`0.25
128956`737896`A-LTH CNCX`BORE`NULL`2023-05-03 11:40:00.000`2023-05-03 14:55:00.000`9`O`3.25
128956`737897`RED LINE`NULL`NULL`2023-05-04 14:55:00.000`2023-05-04 16:00:00.000`10`O`1.0800000000000001
128955`737878`A-SAW`NULL`NULL`2023-04-03 09:00:00.000`2023-04-03 11:13:00.000`0`O`2.2200000000000002
