Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128500`8X4140`NULL`8" RND.`P`C
128499`NNSM12.5X7X2.25`NULL`NULL`P`C
128498`1.75X4340`NULL`1.75" ROUND`P`C
128497`12XGSM`NULL`12" RND.`P`C
128496`2.906-SS`PARKWAY`8M-26X2.091 ID(#933) SS`P`C
128496`3.25X7075`NULL`3.25" RND.`P`C
128495`3.75X6061`NULL`3.75" RND.`P`C
128495`3.810-SS`NULL`8M-34X2.830ID(#937) SS`P`C
128492`11X4140HT`NULL`11" RND.`P`C
128491`16XGI`NULL`16" RND. (CLASS # 40)`P`O
128490`3.25X4140HT`NULL`3.25" RND.`P`O
128490`8.5X4140HT`NULL`8.5" RND.`P`O
128489`C153-M-146356`NULL`14M-42S x 2.13" PULLEY`P`O
128488`7.5X1545`ALRO`7.5" RND.`P`C
128487`9.5X4140HT`NULL`9.5" RND.`P`C
128483`5XGSM`ALRO`5" RND.`P`C
128481`13.5X4340`NULL`13.5" RND.`P`C
128480`4.5X4140HT`NULL`4.5" RND.`P`C
128479`7.5X1545`NULL`7.5" RND.`P`C
128478`3.75X1545`NULL`3.75" RND.`P`C
128477`2.75X4140HT`NULL`2.75" RND.`P`C
128476`2.5X660BRNZ`NULL`2.5" RND.`P`C
128474`4.5XAMPCO 18`NULL`4.5" RND.`P`C
128473`4.5X4140HT`CASTLE`4.5" RND.`P`C
128472`1.25X4140`NULL`1.25" RND.`P`C
128471`5.75X1545`ALRO`5.75" RND.`P`C
128468`3.75X304`NULL`NULL`P`C
128464`NNSM14.5X7X2.25`DURAGEAR`NULL`P`C
128463`30739343 - GEARS ONLY`NULL`50T, 4 MOD. SPUR GEAR`P`C
128462`30739247`NULL`50T, 4 MOD. SPUR GEAR`P`C
128461`2X6061`NULL`2" RND.`P`C
128459`9X303`NULL`9" RND.`P`C
128459`9X303`NULL`9" RND.`P`C
128458`3.5X303`NULL`3.5" RND.`P`C
128458`3.5X303`NULL`3.5" RND.`P`C
128457`3X303`NULL`3" RND.`P`C
128457`2.5X303`NULL`2.5" ROUND`P`C
128456`2X303`NULL`2" RND.`P`C
128456`2X303`NULL`2" RND.`P`C
128455`2X303`NULL`2" RND.`P`C
128455`2X303`NULL`2" RND.`P`C
128452`4X4140`ALRO`4" RND.`P`C
128451`2.5X6061`NULL`2.5" RND.`P`C
128451`2.606SS`PARKWAY`2.606 FLANGE 1.799 ID(#931-SS)`P`C
128450`K051F0539`NULL`24T, T5 PULLEY`P`C
128449`2.5XGSM BLUE`NULL`2.5" RND. GSM BLUE`P`C
128448`7.5X4140`NULL`7.5" RND.`P`C
128447`3.25X1545`ALRO`3.25" RND.`P`C
128446`3.25X4140HT`CASTLE`3.25" RND.`P`C
128445`4.5X4140HT`CASTLE`4.5" RND.`P`C
128444`4.5XMC907`NULL`4.5" RND.`P`C
128442`21.0" 4140HT 2.70" LONG`EMJ`NULL`B`C
128440`3.25X1545`ALRO`3.25" RND.`P`C
128440`3.408-SS`NULL`8M-30X2.548 ID(#935) SS`P`C
128439`1.7610-SS`PARKWAY`24XL-SS FLANGE 1.207 ID`P`C
128439`1.75X6061`NULL`1.75" RND.`P`C
128436`2.375X4140CR`EMJ`2.375" RND. COLD ROLLED`P`C
128435`2.375X4140CR`EMJ`2.375" RND. COLD ROLLED`P`C
128433`5.25X17-4PH`ALRO`5.25" RND.`P`C
128432`MC9076.0X4.0X26`MIDLAND`MC907 6.0X4.0X26 NYLON TUBING`B`C
128432`5" KNURLED ROLLER`NULL`KNURLED ROLLER BLANK 17-4 STST`P`O
128431`5X4140HT`NULL`5" RND.`P`C
128430`5X4140HT`NULL`5" RND.`P`C
128426`3.25XACETRON GP BLACK`ALRO`3.25" ROUND`P`C
128425`2.5X4140HT`NULL`2.5" RND.`P`C
128424`1.75XACETRON GP`NULL`1.75" RND.`P`C
128423`8X6061`ALRO`8" RND.`P`C
128422`2-160-18`NULL`STEEL HUB`P`C
128422`7.5X4150HT`NULL`7.5" RND.`P`O
128421`8.5X4150HT`NULL`8.5" RND.`P`C
128421`8.5X4150HT`NULL`8.5" RND.`P`C
128421`L-24 CLAMP`GREENLEAF`NULL`B`C
128421`1-210-2`NULL`PIN`P`C
128420`7X1545`ALRO`7" RND.`P`C
128416`1.75X4140`NULL`1.75" RND.`P`C
128415`5.5X660BRNZ`NULL`5.5" RND.`P`C
128414`6.5X1545`NULL`6.5" RND.`P`C
128413`17X4140HT`ALRO`17" ROUND`B`C
128412`21.22OD X 15.6ID X 5.75L`SCOT FORGE`4140HT FORGING`P`C
128411`7X4140HT`NULL`7" RND.`P`C
128410`6X4140`NULL`6" RND.`P`C
128409`7.5XGI`NULL`7 1/2" ROUND (#40 GRAY IRON)`P`C
128408`7.5XGI`NULL`7 1/2" ROUND (#40 GRAY IRON)`P`C
128406`9.5X4140HT`CASTLE`9.5" RND.`P`C
128405`12X4140HT`CASTLE`12" RND.`P`C
128404`3.5X4140HT`NULL`3.5" RND.`P`C
128403`8641-0186`NULL`60T SPUR GEAR, NYLOIL`P`C
128402`NNSM12.0X8.75SSX2.25`NULL`NYLASTEEL BLANK W/ 416 SS CORE`P`C
128401`2345K331`MC MACHINE`MCMASTER CARR SPROCKET`B`C
128399`.5 GSM BLUE PLATE 7X7"`ALRO`SQUARE`B`C
128398`2.25X1545`RYERSON`2.25" RND.`P`C
128396`8X4140HT`NULL`8" RND.`P`C
128394`5.25X303`NULL`5 1/4" ROUND 303 SS`P`C
128392`3/4" PHENOLIC CE PLATE8" ROUND`ALRO`NULL`B`C
128391`97000112-1`NULL`75T, 10DP PHENOLIC CE`P`C
128391`1" PHENOLIC CE 8" ROUND PLATE`ALRO`NULL`B`C
128385`75R150DPS/X`MCMAS-CARR`NULL`B`O
128379`13P297`NULL`50A25 x 2.1875" - 416 ST.ST.`P`C
128378`NSM2.25 ROD`MIDLAND`NSM2.25 NYLON ROD`B`S
128378`1.5X12FT 1144 CF KNURLED BAR`NULL`1.5" RND`P`O
128377`NSM2.25 ROD`MIDLAND`NSM2.25 NYLON ROD`B`S
128377`1.5X12FT 1144 CF KNURLED BAR`NULL`1.5" RND`P`O
128376`NSM2.25 ROD`MIDLAND`NSM2.25 NYLON ROD`B`S
128376`1.5X12FT 1144 CF KNURLED BAR`NULL`1.5" RND`P`O
128375`1.5X12FT 1144 CF KNURLED BAR `NULL`1.5" RND`P`C
128375`NSM2.25 ROD`MIDLAND`NSM2.25 NYLON ROD`B`C
128374`1045 - 20" DIA. X 7" LG.`ALRO`ALRO Q # 100555367`B`C
128373`9.292`PARKWAY`14M-50 X 7.787 (#962)`P`C
128373`9X1545`ALRO`9" RND.`P`C
128372`6.5XNYOIL`ALRO`6.5" RND. (GREEN)`P`C
128371`5X303`NULL`5" RND.`P`C
128368`7.5X4140HT`CASTLE`7.5" RND.`P`C
128367`6.5X4140HT`CASTLE`6.5" RND.`P`C
128366`6X4140HT`CASTLE`6" RND.`P`C
128365`6X4140HT`CASTLE`6" RND.`P`C
128363`5XNSM`ALRO`5" RND.`P`C
128362`7XNSM`NULL`7" RND.`P`C
128358`11XNSM`NULL`11" RND.`P`C
128356`5.25X4140HT`NULL`5.25" RND.`P`C
128355`2.25X4140HT`NULL`2.25" RND.`P`C
128354`1.5X4140HT`CASTLE`1.5" RND.`P`C
128353`5X4140HT`CASTLE`5" RND.`P`C
128352`1.625X4140CF`NULL`1.625" RND.`P`C
128351`NNSM2.25X1.5X1.125 -BLANK`NULL`2¼" OD x 1½" CORE x  1-1/8" LG`P`O
128350`NNSM2.25X1.5X1.125 -BLANK`NULL`2¼" OD x 1½" CORE x  1-1/8" LG`P`O
128349`NNSM2.25X1.5X1.125 -BLANK`NULL`2¼" OD x 1½" CORE x  1-1/8" LG`P`O
128348`NNSM2.25X1.5X1.125 -BLANK`NULL`2¼" OD x 1½" CORE x  1-1/8" LG`P`C
128347`11X1545`NULL`11" RND.`P`C
128346`24L823-CAST`NULL`RAW CASTING FROM P-SCALE`P`C
128344`35P523-CAST`NULL`RAW CASTING FROM P-SCALE`P`C
128340`1266432`NULL`56T GEAR - HORIZ CHAIN DR`P`C
128337`3.75X303`NULL`3.75"RND`P`C
128336`507630`NULL`43T, 6 MOD L.H. HELICAL GEAR`P`C
128334`086968`NULL`30L050 PULLEY - ALUMINUM`P`C
128333`364824`NULL`P40-8M-50 PULLEY`P`C
128328`3.5X1545`NULL`3.5" RND.`P`O
128326`5X8620`NULL`5" ROUND`P`C
128320`5.5X8620`EMJ`5.5" RND.`P`C
128317`14X1045`NULL`14" 1045`P`C
128317`14.62`PARKWAY`14M-80 X 12.881 (#971)`P`C
128315`5.25X1545`ALRO`5.25" RND.`P`C
128312`24"X1045 X 2.0" LONG`ALRO`NULL`B`C
128310`709927`NULL`9T, #50 SPROCKET`P`C
128309`NGSM6.0X3.25X13`NULL`NGSM 6" X 3.25" X 13"`P`C
128306`5.5X4140HT`CASTLE`5.5" RND.`P`C
128305`1.25X6061`NULL`1.25" RND.`P`C
128302`3XNSM`ALRO`3" RND.`P`C
128302`3X1545`NULL`3" RND.`P`C
128296`UMS-118481`NULL`36T, 6 PITCH, 20° PA SPUR GEAR`P`C
128295`MGS-RP-0034`NULL`30T, 6DP IDLER - 4140`P`C
128294`6.5XDI`NULL`6.5" RND.`P`C
128283`5XGSM`ALRO`5" RND.`P`C
128268`5.25X304`CASTLE`5 1/4" round 304 SS`P`C
128268`20"X4 1/2"X3/4" 304SS PLATE`EMJ`NULL`B`C
128267`6.5X304`CASTLE`6.5" 304 SS ROUND`P`C
128266`20"X4 1/2"X3/4" 17-4 SS PLATE`EMJ`NULL`B`C
128265`20"X4 5/8"X3/4" 304SS PLATE`EMJ`NULL`B`C
128265`5.25X304`CASTLE`5 1/4" round 304 SS`P`C
128264`3.5X6061`ALRO`3.5" RND.`P`C
128263`2.25X303`NULL`2.25" RND.`P`C
128261`16X4140`NULL`16" RND.`P`C
128260`212020`NULL`60T, 8 DP SPUR GEAR`P`C
128239`16X4140HT`ALRO`16" RND.`P`C
128238`20 X1045 X 5.25L`CASTLE`20" DIA 1045 STEEL 5.25" LONG`B`C
128237`6X1545`ALRO`6" RND.`P`C
128229`10097B2208`NULL`48T, 16DP SPUR GEAR`P`C
128226`1.25X6061`NULL`1.25" RND.`P`C
128225`1.25X6061`NULL`1.25" RND.`P`C
128212`10X304`NULL`10" RND`P`C
128210`5.5XGSM`NULL`5.5" RND.`P`C
128205`5X660BRNZ`NULL`5" RND.`P`C
128205`1-5/8X1-3/16X1-5/8 LONG BUSHIN`MOTION-JVL`NULL`B`O
128204`1-5/8X1-3/16X1-5/8 LONG BUSHIN`MOTION-JVL`NULL`B`C
128204`7X660BRNZ`DURA-BAR`7" RND.`P`C
128203`2.5X660BRNZ`NULL`2.5" RND.`P`C
128202`6.5X660BRNZ`NULL`6.5" RND. (A.K.A. 932)`P`C
128201`6X660BRNZ`NULL`6" RND. (A.K.A. 932)`P`C
128200`6.5X660BRNZ`NULL`6.5" RND. (A.K.A. 932)`P`O
128199`6X660BRNZ`NULL`6" RND. (A.K.A. 932)`P`C
128198`5X660BRNZ`NULL`5" RND.`P`C
128197`4X660BRNZ`NULL`4" RND.`P`C
128196`7X660BRNZ`DURA-BAR`7" RND.`P`C
128195`2.5X660BRNZ`NULL`2.5" RND.`P`C
128194`5X660BRNZ`NULL`5" RND.`P`C
128194`1-5/8X1-3/16X1-5/8 LONG BUSHIN`MOTION-JVL`NULL`B`O
128193`7X660BRNZ`DURA-BAR`7" RND.`P`C
128193`1-5/8X1-3/16X1-5/8 LONG BUSHIN`MOTION-JVL`NULL`B`O
128191`7.5X1545`NULL`7.5" RND.`P`C
128190`NSM12.5X6.75X26 NYLON TUBING`ALRO`NSM12.5X6.75X26 NYLON TUBING`B`C
128190`7X2.25 CORE`NULL`7" STEEL CORE, 2.25" LONG`P`C
128181`4.5X4140`NULL`4.5" RND.`P`C
128180`6.5X4140`NULL`6.5" RND.`P`C
128179`21.62 OD X 15.6 ID X 4.25" L`SCOT FORGE`4140HT FORGING`P`C
128178`21.62 OD X 15.6 ID X 4.25" L`SCOT FORGE`4140HT FORGING`P`C
128170`13X4140HT`NULL`13" RND.`P`C
128168`6X4150`EMJ`6" RND.`P`O
128167`8XGI`NULL`8" RND. (CLASS # 40)`P`C
128165`4.5X4140HT`NULL`4.5" RND.`P`C
128164`6.5X4140HT`NULL`6.5" RND.`P`C
128163`22X4140HT`ALRO`22" ROUND`B`C
128161`8XGI`NULL`8" RND. (CLASS # 40)`P`C
128160`7XGI`NULL`7" RND. (CLASS # 40)`P`C
128160`PIPE PLUG 1/8-27`MOTION-JVL`1/8-27 PIPE TAP PLUG`P`O
128159`6X4140HT`NULL`6" RND.`P`C
128157`6.5X4140HT`NULL`6.5" RND.`P`C
128154`55014BXT GEAR SET`NULL`15T/48T, 6 DP GEAR SET`P`C
128150`25.5X18X2.5 1045 PLATE`CASTLE`STRESS RELIEVED AFTER CUTTING`B`C
128147`6.465-SS`PARKWAY`14M-34 X 4.901 (#955-SS)`P`C
128147`6X1545`NULL`6" RND.`P`C
128146`60B24 SPROCKET`MOTION-JVL`NULL`B`C
128145`3XNSM`ALRO`3" RND.`P`C
128145`3X1545`NULL`3" RND.`P`C
128140`273179`NULL`P50-8M PULLEY`P`C
128138`14L823-CAST`NULL`RAW CASTING FROM P-SCALE`P`C
128134`11XDI`NULL`11" RND.`P`C
128133`8X1545`ALRO`8" RND.`P`C
128131`7.5X1545`ALRO`7.5" RND.`P`C
128127`302258`NULL`40A12 SPROCKET`P`C
128126`7.5X1545`NULL`7.5" RND.`P`C
128125`60B28H`MOTION-JVL`1" RSB, HARDENED TEETH`B`C
128124`60B30H`NULL`US TSUBAKI SPROCKET MPB`B`C
128124`60B30H`MOTION-JVL`US TSUBAKI SPROCKET MPB`B`C
128123`7X4140HT`NULL`7" RND.`P`C
128120`5.5X3X954 BRONZE`DURA-BAR`NULL`P`O
128115`F201K005`NULL`19T, 6 MOD L.H. HELICAL GEAR`P`C
128114`29.35OD X 24.4 ID X 2.36 LONG`SCOT FORGE`NULL`B`C
128106`61.65X58.4X2.5" LONG1020RING`SCOT FORGE`NULL`B`C
128088`3.25X303`EMJ`3.25 " RND.`P`C
128088`1267210`MOTION-JVL`BUSHING, Q# WI22-277162`B`C
128083`CD2-90-12`NULL`86T, 10DP GEAR`P`C
128064`5X1545`ALRO`5" RND.`P`C
128060`5X4140HT`CASTLE`5" RND.`P`C
128059`14X1018`EMJ`NULL`P`C
128058`8.5X4140HT`CASTLE`8.5" RND.`P`C
128055`15XGSM`ALRO`15" RND.`P`C
128021`6X1545`ALRO`6" RND.`P`C
128018`4.5X4140`ALRO`4.5" RND.`P`C
127988`60A84H`APPLIED-MA`HARDENED TEETH`P`C
127986`3.75X4140HT`NULL`3.75" RND.`P`C
127973`5.5X4140`ALRO`5.5" RND.`P`C
127971`72571`NULL`32T, 16 DP NYLASTEEL`P`C
127970`5.413`PARKWAY`8M-50 X 4.308 (#944)`P`C
127970`5.5X1545`ALRO`5.5" RND.`P`C
127968`9.5X1545`NULL`9.5" RND.`P`C
127967`4 5/8" X 2 3/8" X 3 1/2" PEEK`ALRO`30% CARBON REINFORCED`B`C
127963-3`6.5X4140HT`CASTLE`6.5" RND.`P`O
127963-3`6X4140HT`NULL`6" RND.`P`C
127963`C192-A4-12131-D-1`NULL`46T/92T, 8DP ASSEMBLY`B`O
127956`11X1545`ALRO`11" RND.`P`C
127954`2.5X4140`NULL`2.5" RND.`P`C
127953`2.5X1545`NULL`2.5" RND.`P`C
127952`8XGI`NULL`8" RND. (CLASS # 40)`P`C
127951`5X1545`NULL`5" RND.`P`C
127948`11.5X4140HT`NULL`11.5" RND`P`C
127945`7.5XGI`NULL`7 1/2" ROUND (#40 GRAY IRON)`P`C
127939`4.25X4140`EMJ`4.25" RND.`P`C
127921`210852`NULL`68T, 8 DP NYLON HELICAL GEAR`P`C
127920`2.25"NYLON MD 36"OD14"ID`ALRO`NULL`B`C
127871`3.5X4140`ALRO`3.5" RND.`P`C
127863`1358822`NULL`63T, 8/10DP L.H. HELICAL GEAR`P`O
127832`10XGI`DURA-BAR`10" RND. (CLASS # 40)`P`C
127808`5X6061`ALRO`5" RND.`P`C
127804`11X1545`NULL`11" RND.`P`C
127797`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127796`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127795`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127794`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127793`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127792`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127791`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`O
127790`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`C
127789`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`C
127788`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`C
127773`210852`NULL`68T, 8 DP NYLON HELICAL GEAR`P`C
127745`5X6061`ALRO`5" RND.`P`C
127742`9X4140HT`NULL`9" RND.`P`C
127667`3X6061`NULL`3" RND.`P`C
127640`15XDI`NULL`15" - 15.25" RND.`P`C
127621`5.413`PARKWAY`8M-50 X 4.308 (#944)`P`C
127621`5.5X1545`ALRO`5.5" RND.`P`C
127525`6X1545`ALRO`6" RND.`P`C
127445`210852`NULL`68T, 8 DP NYLON HELICAL GEAR`P`C
127178`6X1545`ALRO`6" RND.`P`C
127150`234-254`NULL`42T, 12DP NYLON GEAR SEGMENT`P`O
127140`4.5X4140HT`NULL`4.5" RND.`P`C
126752`15X1045`CASTLE`NULL`P`O
126751`15X1045`CASTLE`NULL`P`O
126750`15X1045`CASTLE`NULL`P`O
126749`15X1045`CASTLE`NULL`P`O
126748`15X1045`CASTLE`NULL`P`C
126747`15X1045`CASTLE`NULL`P`C
125902`1.625X4140HT`NULL`1.625" rnd.`P`O
125901`1.625X4140HT`NULL`1.625" rnd.`P`C
125898`9.5X6061`NULL`9 1/2" RND.`P`O
125897`9.5X6061`NULL`9 1/2" RND.`P`O

(753 rows affected)
