Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128857`13X4140`NULL`13" RND.`P`O
128856`3.25X303`EMJ`3.25 " RND.`P`C
128855`5.5XDI`NULL`5.5" RND.`P`C
128854`5.5XDI`NULL`5.5" RND.`P`C
128853`185532`NULL`25T, 1" PITCH SPROCKET`P`C
128852`140951`NULL`NULL`P`S
128851`11.067`PARKWAY`14M-60 X 9.382  (#965)`P`C
128851`11X1545`NULL`11" RND.`P`C
128850`NMC907 4.0X2.5SSX13`NULL`MC907 , 303SS, 13" LONG`P`C
128849`29L49162003`NULL`65T/16T GSM COMBINATION GEAR`P`C
128848`5X4140HT`NULL`5" RND.`P`C
128847`9X1545`NULL`9" RND.`P`O
128847`9.292`PARKWAY`14M-50 X 7.787 (#962)`P`O
128846`NGSM4.5X3.0X13`NULL`NULL`P`C
128844`7X316`NULL`316 STAINLESS STEEL`P`C
128844`15¾" X 5-7/8" X ¾" 316SS PLATE`EMJ`NULL`B`S
128843`2.75RD 1117 CF X 12FT`ALRO`2.75RD 1117 CF X 12FT`B`C
128842`63793-C`NULL`144T, R.H. HELICAL GEAR`P`O
128841`63792-C`NULL`144T, L.H. HELICAL GEAR`P`O
128840`5.5X4340`EMJ`5.5" RND.`P`O
128839`63790-B`NULL`48T, L.H. HELICAL GEAR`P`O
128838`125887-B`NULL`32T DRIVE GEAR - 4340`P`O
128837`5.5XMC901`NULL`5.5" RND.`P`O
128836`6.5X1545`ALRO`6.5" RND.`P`C
128835`344734`NULL`81T, 5 MOD L.H. HELICAL GEAR`P`O
128834`1.75X304`NULL`1.75" RND.`P`O
128833`GSM 3.5X1.0X26 NYLON TUBING`MIDLAND`GSM 3.5X1.0X26 NYLON TUBING`B`S
128833`1.5X12FT 1144 CF KNURLED BAR`NULL`1.5" RND`P`O
128832`2.5X660BRNZ`NULL`2.5" RND.`P`C
128831`4X6300BRNZ`NULL`NICKEL ALUMINUM BRONZE`P`O
128830`3.5X303`NULL`3.5" RND.`P`O
128829`72571`NULL`32T, 16 DP NYLASTEEL`P`C
128828`3.5X4140HT`NULL`3.5" RND.`P`O
128827`7X304`CASTLE`7"RND`P`O
128826`9.5X304`CASTLE`9.5" RND`P`O
128825`3.75X4140HT`NULL`3.75" RND.`P`O
128824`6.5X1545`NULL`6.5" RND.`P`C
128824`6.595-SS`PARKWAY`8M-62 X 5.629 (40H-SS)`P`C
128823`3X4140HT`NULL`3" RND.`P`C
128822`8CD7-10-61`NULL`8MX-40S-36`P`O
128821`2.5X1545`NULL`2.5" RND.`P`C
128820`2.25X1117`NULL`2 1/4" RND`P`O
128820`2.25X1117`NULL`2 1/4" RND`P`O
128819`6.0ID X 9.25OD X 26 GSM TUBING`ALRO`NULL`B`C
128818`13.066`PARKWAY`14M-72 X 11.375 (# 969)`P`C
128818`12.5X4140`ALRO`12.5" RND`P`C
128817`1.75X4340HT`NULL`1.75" RND.`P`C
128816`2X1045 HR`NULL`2" rnd.`P`C
128813`5.5X4140HT`NULL`5.5" RND.`P`C
128812`8.5XGI`DURA-BAR`CLASS 40 GREY IRON`P`C
128811`EP2024-28`MOTION-JVL`OIL IMPREGNATED BUSHING`B`C
128811`3.5X1545`NULL`3.5" RND.`P`C
128810`14X4140`NULL`14" RND.`P`O
128809`3.5X304`NULL`3½" RND.`P`O
128808`5X6061`ALRO`5" RND.`P`C
128808`4.911-AL`PARKWAY`8M-45 X 3.803 ALUM (942-AL)`P`C
128807`155860`NULL`33T, 5 MOD. SPUR GEAR - 4340`P`O
128806`7X1545`ALRO`7" RND.`P`C
128806`7.231`PARKWAY`8M-69 X 6.254 (#44H)`P`C
128805`125357`NULL`P25-8M-30 PULLEY`P`O
128804`4.764-SS`NULL`8M-43 X 3.963 (941-SS)`P`C
128804`4.5X1545`NULL`4.5" RND.`P`C
128803`12.5X1018`NULL`12.5" RND.`P`C
128801`7.5XNYLOIL`NULL`7.5" RND. (GREEN)`P`C
128800`MTU001-05-P161`NULL`21T, 2 MOD SPUR GEAR`P`C
128799`154083`NULL`P36-8M-30 PULLEY`P`C
128798`5XDI`NULL`5" RND.`P`C
128797`3.5XNYOIL`NULL`3.5" RND. (GREEN)`P`C
128796`4.5XNSM`ALRO`4.5" RND.`P`C
128795`6.5X4140HT`CASTLE`6.5" RND.`P`C
128794`7X6061`NULL`7" ROUND ALUMINUM`P`C
128793`4.009-SS`NULL`8M-36X3.138 ID(#938) SS`P`C
128793`3.75X304`NULL`NULL`P`C
128792`11.5X6061`NULL`NULL`P`C
128791`3X1545`ALRO`3" RND.`P`C
128790`2.25X1545`RYERSON`2.25" RND.`P`C
128789`4.5X303`NULL`4.5" RND.`P`C
128788`3.5X303`NULL`3.5" RND.`P`C
128787`2-160-18`NULL`STEEL HUB`P`C
128787`7.5X4150HT`NULL`7.5" RND.`P`C
128786`NGSM6.0X3.25X13`NULL`NGSM 6" X 3.25" X 13"`P`O
128784`1.5" THICK PHENOLIC PLATE`ALRO`3.5" DIA. CIRCLE`B`C
128783`6.5X4140HT`CASTLE`6.5" RND.`P`C
128782`8.5X4140HT`NULL`8.5" RND.`P`C
128780`3X954BRZ`DURA-BAR`AMPCO 18`P`C
128779`3X4140HT`CASTLE`3" RND.`P`C
128778`4X903 TIN BRONZE`A&A MANUFA`NULL`P`O
128777`3X4140HT`NULL`3" RND.`P`C
128776`3.25X303`EMJ`3.25 " RND.`P`C
128775`9.5"X 28.75 65-45-12 D.I.`DURA-BAR`NULL`B`C
128773`2XGSM`ALRO`2" RND.`P`O
128772`14X4140`ALRO`14" RND.`P`C
128771`7X954`FARMERS CO`NULL`B`C
128771`7X954X3.5" LONG`FARMERS CO`NULL`B`C
128770`3.5X4340HT`CASTLE`3.5X 4340HT`P`C
128769`4X416`NULL`4" RND.`P`C
128767`NGSM3.5X1.5X13`NULL`NGSM 3.5" X 1.5" X 13"`P`C
128766`4.009-A`PARKWAY`8M-36 X 3.138 (938-AL)`P`C
128766`3.75X1545`ALRO`3.75" RND.`P`C
128765`4.009-A`PARKWAY`8M-36 X 3.138 (938-AL)`P`C
128765`3.75X1545`ALRO`3.75" RND.`P`C
128764`501825`NULL`60T, 4 MOD GSM GEAR`P`C
128763`4X4140HT`NULL`4" RND.`P`C
128761`3.75XGSM`NULL`3.75" RND.`P`C
128760`1.75X4140HT`NULL`1.75" RND.`P`O
128759`3.5XNYOIL`NULL`3.5" RND. (GREEN)`P`C
128758`31296223`NULL`NULL`P`C
128757`9X6061`ALRO`9" RND.`P`C
128756`3X4140HT`NULL`3" RND.`P`C
128755`NNSM5.0X3.25X13`DURAGEAR`NNSM 5" X 3.25" X 13"`P`C
128754`NNSM5.0X3.25X13`DURAGEAR`NNSM 5" X 3.25" X 13"`P`C
128753`NNSM4.5X3.25X13`DURAGEAR`NNSM 4.5" X 3.25" X 13"`P`C
128751`SKF6207-2RS BALL BEARING`FASTENAL`SKF6207-2RS BALL BEARING`B`S
128751`THIER GSM TUBING`NULL`GSM NYLON TUBING 26" LONG`B`O
128751`4X12FT. 1117 CR KNURLED BAR`NULL`4" RND`P`O
128750`38M223`NULL`76T, 24DP SPUR GEAR`P`O
128749`2.5X303`NULL`2.5" ROUND`P`C
128748`4.5X6061`NULL`4.5" RND.`P`C
128748`4.764-SS`NULL`8M-43 X 3.963 (941-SS)`P`C
128747`1.25X6061`NULL`1.25" RND.`P`C
128746`4X4140`NULL`4" RND.`P`C
128745`2X660BRNZ`NULL`2" RND.`P`C
128742`8X304SS`ALRO`8" 304 STAINLESS`P`O
128741`11.067`PARKWAY`14M-60 X 9.382  (#965)`P`C
128741`11X1545`NULL`11" RND.`P`C
128740`U-D0410-014N-01`NULL`SPLINED UNWIND SHAFT,`P`C
128739`GSM5" RD NYLATRON`ALRO`NULL`B`C
128739`1.75RD X 12FT 1117`NULL`1.75rd x 12ft long 1117CR`B`O
128738`2X8620`NULL`2" RND.`P`C
128737`8X4340`NULL`NULL`P`C
128736`8XGI`NULL`8" RND. (CLASS # 40)`P`O
128735`12X4140HT`NULL`12" RND.`P`C
128734`8.5X4150HT`NULL`8.5" RND.`P`C
128733`7X4140HT`NULL`7" RND.`P`O
128732`6X4140HT`NULL`6" RND.`P`O
128731`6XDI`NULL`6" RND.`P`C
128729`1P523-CAST`NULL`P-SCALE CASTING`P`C
128728`2.25XDELRIN 150 (NATURAL)`NULL`2.25" RND.`P`C
128727`3.25X303`EMJ`3.25 " RND.`P`C
128726`1.25X6061`NULL`1.25" RND.`P`C
128725`8X1545`NULL`8" RND.`P`C
128724`12" X 1.43" LONG 932 BRONZE`ALRO`NULL`B`C
128723`8X1545`ALRO`8" RND.`P`C
128722`8.5X1545`NULL`8.5" RND.`P`C
128721`NNSM7.5X3.25X13`DURAGEAR`NNSM 7.5" X 3.25" X 13"`P`C
128720`NNSM7.0X3.25X13`DURAGEAR`NNSM 7" X 3.25" X 13"`P`C
128719`10.5X4140`ALRO`10.5" RND.`P`O
128718`9.5X4140`ALRO`9.5" RND.`P`C
128717`15XDI`NULL`15" - 15.25" RND.`P`C
128716`C153-M-194453`NULL`94T, 8DP ANVIL GEAR`P`O
128715`10X6061`NULL`6061 aluminum`P`C
128714`8.5X1545`ALRO`8.5" RND.`P`C
128713`10.5X4140HT`NULL`10.5" RND.`P`C
128712`16X1045.`NULL`16" RND.`P`O
128711`6X1545`ALRO`6" RND.`P`O
128710`20" 80-55-06 4.619"L`DURA-BAR`NULL`B`C
128709`8XGI`NULL`8" RND. (CLASS # 40)`P`C
128708`8XGI`NULL`8" RND. (CLASS # 40)`P`C
128707`10.5XDI`NULL`10.5" RND.`P`C
128706`11.5XGI`NULL`11.5" RND. (CLASS # 40)`P`C
128705`11.5XGI`NULL`11.5" RND. (CLASS # 40)`P`C
